date,pound,euro
28-05-13,1.5061,1.287
29-05-13,1.5121,1.2944
30-05-13,1.5207,1.3042
31-05-13,1.5185,1.2988
03-06-13,1.5349,1.3098
04-06-13,1.5304,1.3075
05-06-13,1.5392,1.3088
06-06-13,1.5601,1.3248
07-06-13,1.5558,1.3242
10-06-13,1.5556,1.3234
11-06-13,1.5587,1.3278
12-06-13,1.5697,1.3354
13-06-13,1.5698,1.3314
14-06-13,1.5686,1.333
17-06-13,1.5709,1.3341
18-06-13,1.5625,1.3407
19-06-13,1.5657,1.3404
20-06-13,1.5469,1.3214
21-06-13,1.5373,1.3113
24-06-13,1.5404,1.3091
25-06-13,1.5418,1.308
26-06-13,1.5332,1.3006
27-06-13,1.5235,1.3016
28-06-13,1.521,1.301
01-07-13,1.5247,1.306
02-07-13,1.5171,1.3017
03-07-13,1.5264,1.3005
04-07-13,1.5264,1.3005
05-07-13,1.491,1.2831
08-07-13,1.4932,1.2863
09-07-13,1.4837,1.2774
10-07-13,1.4935,1.2846
11-07-13,1.5127,1.3046
12-07-13,1.5108,1.3048
15-07-13,1.5088,1.3039
16-07-13,1.5122,1.3144
17-07-13,1.5184,1.3094
18-07-13,1.5193,1.3078
19-07-13,1.526,1.3142
22-07-13,1.5366,1.3193
23-07-13,1.5354,1.3212
24-07-13,1.5367,1.3228
25-07-13,1.5333,1.3234
26-07-13,1.5368,1.3269
29-07-13,1.5355,1.3262
30-07-13,1.5244,1.3266
31-07-13,1.5177,1.3282
01-08-13,1.5145,1.3217
02-08-13,1.5277,1.3268
05-08-13,1.5347,1.3257
06-08-13,1.5367,1.3296
07-08-13,1.5514,1.3329
08-08-13,1.5555,1.3392
09-08-13,1.5507,1.3338
12-08-13,1.5475,1.3312
13-08-13,1.5451,1.3247
14-08-13,1.5531,1.3256
15-08-13,1.5573,1.3263
16-08-13,1.5621,1.3321
19-08-13,1.5665,1.3348
20-08-13,1.5678,1.3426
21-08-13,1.5678,1.3368
22-08-13,1.558,1.3362
23-08-13,1.5578,1.3392
26-08-13,1.5568,1.3369
27-08-13,1.5528,1.3387
28-08-13,1.552,1.3326
29-08-13,1.5488,1.3228
30-08-13,1.5468,1.3196
02-09-13,1.5468,1.3196
03-09-13,1.5544,1.3164
04-09-13,1.5643,1.3212
05-09-13,1.5593,1.312
06-09-13,1.5633,1.3166
09-09-13,1.5724,1.326
10-09-13,1.5731,1.326
11-09-13,1.5807,1.3301
12-09-13,1.5819,1.3315
13-09-13,1.5861,1.3276
16-09-13,1.5927,1.335
17-09-13,1.5901,1.3357
18-09-13,1.5965,1.3351
19-09-13,1.6043,1.3527
20-09-13,1.6021,1.3522
23-09-13,1.6066,1.352
24-09-13,1.6006,1.349
25-09-13,1.608,1.3536
26-09-13,1.6012,1.3484
27-09-13,1.6135,1.3537
30-09-13,1.6179,1.3535
01-10-13,1.6208,1.3534
02-10-13,1.6224,1.3592
03-10-13,1.6169,1.3642
04-10-13,1.6069,1.3582
07-10-13,1.6082,1.3569
08-10-13,1.6089,1.3582
09-10-13,1.5943,1.3513
10-10-13,1.5975,1.3535
11-10-13,1.5945,1.3559
14-10-13,1.5945,1.3559
15-10-13,1.5974,1.3494
16-10-13,1.5904,1.349
17-10-13,1.6166,1.3664
18-10-13,1.6184,1.3693
21-10-13,1.6149,1.3672
22-10-13,1.6221,1.3778
23-10-13,1.6171,1.3786
24-10-13,1.6186,1.381
25-10-13,1.6158,1.3794
28-10-13,1.6131,1.3786
29-10-13,1.6059,1.377
30-10-13,1.6078,1.3771
31-10-13,1.6068,1.3594
